field,value
company_name,ZYNAVA
industry,Dietary supplements / consumer health comparison
what_we_do,Helps people compare supplement forms, ingredients, claims, and value before buying
offer,Supplement search and comparison experience with educational guidance
customer_problem,Shoppers feel overwhelmed by conflicting supplement claims and do not know what matters
likely_audience,Adults researching supplements who want clearer evidence before choosing a product
website_action,Start a guided supplement comparison or explore educational guides
geography,United States online
differentiator_1,Comparison-first education rather than a single-brand storefront
differentiator_2,Focuses on forms, ingredients, claims, and practical value tradeoffs
claim_risk,Must avoid medical advice, disease claims, and unverified performance promises
expertise_signal,Explains ingredient forms and label language in plain English
restriction,Do not recommend dosages or diagnose conditions
content_note,Audience likely stops for confusion and trust, not for feature lists
