field,value
company_name,ZYNAVA
industry,Dietary supplements / AI-powered search and price comparison
what_we_do,"Free AI-powered supplement search and price-comparison engine with personalized plan builder and educational AI advisor; routes shoppers to third-party retailers and does not sell supplements"
offer,"Free tools to search and compare supplements by ingredient form dietary needs and budget build a personalized plan and ask non-medical educational questions via AI advisor"
customer_problem,"The supplement market offers more options than ever yet shoppers often feel more confused not less amid conflicting claims and aggressive marketing"
likely_audience,"US adult shoppers researching supplements including newcomers who want clarity and experienced buyers who already know preferred forms and want fair price comparisons"
website_action,"Start Saving Explore Options or Get Started to search compare prices build a plan or ask the Supplement Advisor"
geography,"United States online with business address in Tampa FL"
differentiator_1,"Independent search and comparison — ranking within results is never paid; affiliate commissions do not affect placement"
differentiator_2,"Form-aware education that compares ingredient forms such as glycinate vs oxide and D3 vs D2 for absorption and practical value"
claim_risk,"Educational and informational guidance only — not medical advice; consult a healthcare professional before using supplements"
expertise_signal,"Evidence-informed guides reviewed with editorial and advisory oversight; sources include NIH ODS PubMed and NCCIH"
restriction,"Do not diagnose treat cure or prevent any disease or medical condition; do not recommend dosages or replace clinical care"
content_note,"Education and comparison first; purchase is optional; audience stops for confusion and trust not feature lists"
