record_type,field,value,source_url,evidence_type,confidence,source_snippet,notes,retrieved_at
brand_profile,schemaVersion,2.0,https://zynava.com,observed,high,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
brand_profile,businessName,ZYNAVA,https://zynava.com,observed,high,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
brand_profile,website,https://zynava.com,https://zynava.com,observed,high,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
brand_profile,description,"Zynava is a free AI-powered supplement search and price-comparison engine. Tell us what you're looking for, and Zynava shows matching supplement options and prices from multiple . You can also build a personalized supplement plan and ask supplement questions with our AI advisor for non-medical, educational guidance. We",https://zynava.com,inferred,medium,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
brand_profile,audience,"individuals often feel more confused, not less",https://zynava.com,inferred,medium,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
brand_profile,products,"[""Supplement search and price-comparison results (across participating retailers)"",""Personalized supplement plan builder (based on lifestyle, diet, and budget)"",""AI Supplement Advisor chat for educational guidance on ingredients and goals""]",https://zynava.com,inferred,medium,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
brand_profile,services,"[""Compare Supplement Prices Based on Your Preferences"",""Why Zynava Exists"",""Smarter Choices, Your Way"",""Research Made Simple"",""Explore more ways to choose confidently"",""Why Ingredients Matter""]",https://zynava.com,inferred,medium,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
brand_profile,indexedProducts,"[{""name"":""Magnesium glycinate"",""sourceUrl"":""https://zynava.com""},{""name"":""Vitamin D3"",""sourceUrl"":""https://zynava.com""},{""name"":""Magnesium"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Vitamin C"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Vitamin D"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Vitamin B12"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Zinc"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Omega-3"",""sourceUrl"":""https://zynava.com/tools/ingredient-explorer""},{""name"":""Calcium"",""sourceUrl"":""https://zynava.com/supplements/catalog""},{""name"":""Creatine"",""sourceUrl"":""https://zynava.com/tools/ingredient-explorer""}]",https://zynava.com,observed,high,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
brand_profile,valueProposition,"Choose your ingredient, form, dietary needs, and budget. Zynava finds matching products across participating retailers and shows the lowest observed price and price per serving when verified. Educational only; not medica",https://zynava.com,inferred,medium,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
brand_profile,brandVoice,Clear · Evidence-minded · Helpful,https://zynava.com,inferred,medium,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
brand_profile,marketingOpportunity,How does the Supplement Advisor work?,https://zynava.com,recommended,medium,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
brand_profile,colors,[],https://zynava.com,inferred,low,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
brand_profile,socialProfiles,"[{""platform"":""instagram"",""status"":""missing""},{""platform"":""facebook"",""status"":""present"",""url"":""https://www.facebook.com/zynava""},{""platform"":""linkedin"",""status"":""present"",""url"":""https://www.linkedin.com/company/zynava""},{""platform"":""tiktok"",""status"":""missing""},{""platform"":""youtube"",""status"":""present"",""url"":""https://www.youtube.com/@zynava""},{""platform"":""x"",""status"":""missing""}]",https://zynava.com,observed,high,,Draft materialized by analyzeWebsite,2026-07-28T21:50:22.636Z
